id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1145	disintegration	-0.4062	0.6424	5	337	562	49	2016.4694
1146	dispersion	0.9085	0.1974	3	368	528	36	2014.3333
1147	display	0.6594	-0.3136	4	555	888	60	2014.9667
1148	dissolution	0.0835	0.5088	2	450	745	69	2014.5507
1149	distance	0.5233	-0.0699	3	550	875	62	2014.6613
1150	distiller	-0.2757	0.4833	2	201	314	32	2014.9062
1151	distillers grain	-0.4383	0.484	2	154	221	24	2014.5833
1152	divergence	-0.5667	-0.4978	1	237	311	20	2015.65
1153	diverse application	1.0035	-0.099	3	154	184	11	2015.2727
1154	diverse class	-0.035	-0.6617	1	146	184	13	2017.3077
1155	diverse group	-0.1902	-0.3927	4	165	199	17	2016.1765
1156	diverse set	-0.34	-0.4376	4	140	165	14	2013.5
1157	diversification	-0.4571	-0.3293	1	228	285	24	2014.9167
1158	division	-0.609	-0.4129	1	188	215	17	2014.7059
1159	dmc	0.3565	0.8717	6	97	199	15	2015
1160	dmf	0.6024	0.1552	6	196	258	22	2016
1161	dmso	0.4946	0.1952	4	248	357	26	2015.2692
1162	dockerin	0.2335	-0.4357	4	216	354	27	2015.5926
1163	docosahexaenoic acid	-0.837	-0.2199	1	239	413	27	2016.1852
1164	domain	0.3144	-0.4608	4	1439	3921	260	2015.4385
1165	domestic wastewater	-0.4129	0.1849	5	190	233	18	2014.8889
1166	dominant bacterium	-0.359	0.3631	5	138	167	12	2015.1667
1167	dominant fatty acid	-0.8355	-0.0445	1	117	154	10	2016.9
1168	dominant species	-0.1823	0.1643	5	168	202	15	2013.2667
1169	dopamine	1.9388	-0.1437	3	186	298	12	2013.4167
1170	double bond	-0.4379	-0.122	1	208	270	20	2015.4
1171	double mutant	-0.0512	-0.4797	1	240	316	24	2015.1667
1172	douglas fir	-0.0508	0.5178	2	114	140	11	2014.7273
1173	down regulation	-0.7282	-0.6181	1	141	182	11	2016.1818
1174	downregulation	-0.6516	-0.5447	1	448	774	45	2015.7556
1175	draft genome sequence	-0.249	-0.5512	1	111	142	14	2015.5
1176	drought	-0.7614	-0.3459	1	448	845	53	2016.0377
1177	drought stress	-0.7698	-0.4525	1	274	458	28	2016.3571
1178	drought tolerance	-0.77	-0.4298	1	182	253	17	2015.7647
1179	dry basis	-0.3514	0.4343	2	292	395	34	2014.0882
1180	dry cell weight	-0.681	-0.3027	1	649	1261	85	2016.2824
1181	dry matter	-0.4438	0.4054	2	675	1237	109	2015.2477
1182	dry matter content	-0.4431	0.6584	2	193	268	23	2014
1183	dry solid	-0.2955	0.4182	2	149	180	15	2012.6667
1184	dry substrate	0.035	0.2255	4	180	275	22	2015.3636
1185	dsc	0.1734	0.545	2	117	156	13	2015.2308
1186	dtt	0.4151	-0.2722	4	141	224	12	2014.8333
1187	duckweed	-0.7387	-0.2916	1	218	350	28	2015.9286
1188	dunaliella	-0.7857	-0.2437	1	161	209	16	2016.5625
1189	dunaliella tertiolecta	-0.5928	-0.2295	1	267	366	24	2014.4167
1190	durability	0.7387	0.2626	3	248	306	22	2015.4545
1191	duty cycle	-0.1699	0.5197	2	134	167	13	2017.5385
1192	dynamic light scattering	0.9511	0.0775	3	117	130	10	2017.2
1193	e coli bl21	0.0529	-0.5456	4	229	344	25	2017.16
1194	e coli cell	0.0738	-0.4731	1	186	219	18	2014.6111
1195	e coli strain	-0.2392	-0.534	1	338	501	43	2014.8837
1196	ebc	2.0416	0.0334	3	201	659	30	2018.0333
1197	ebfc	1.8625	-0.0912	3	510	1871	95	2018.5368
1198	ebfcs	1.9226	-0.1393	3	210	375	18	2019.3333
1199	economic analysis	-0.409	0.5649	2	485	837	80	2016.275
1200	economic assessment	-0.4482	0.6131	2	248	333	28	2015.4643
1201	economic evaluation	-0.3672	0.6435	2	247	361	32	2016.4062
1202	economic impact	-0.4038	0.319	2	173	199	16	2016.1875
1203	economic performance	-0.3959	0.6545	2	175	266	23	2015.4348
1204	ecosystem service	-0.7123	0.1736	2	123	154	17	2015.5882
1205	ecotype	-0.711	-0.3275	1	198	295	17	2016.2353
1206	ectopic expression	-0.6292	-0.6373	1	236	325	18	2015.7778
1207	edge	0.2956	0.1778	3	180	234	18	2012.8889
1208	edible oil	-0.2952	0.1808	6	307	487	31	2016.5161
1209	edta	0.41	-0.226	4	270	519	34	2015.0882
1210	edx	0.6722	0.5172	6	297	458	26	2017.7692
1211	efb	-0.2818	0.605	2	263	409	33	2016.6364
1212	efc	1.9053	-0.1503	3	245	509	25	2014.76
1213	effective catalyst	0.5509	0.4371	6	139	183	15	2016.5333
1214	effective pretreatment	-0.1593	0.5392	2	340	490	35	2015.9143
1215	effective pretreatment method	-0.0666	0.5742	2	122	146	13	2014.3846
1216	effective removal	0.2509	0.4905	2	145	165	12	2014.9167
1217	efficient biocatalyst	0.4044	0.0631	6	166	188	13	2014.3846
1218	efficient biodiesel production	0.2831	0.2802	6	193	266	16	2016.375
1219	efficient bioethanol production	-0.0976	0.0882	2	169	203	20	2016.45
1220	efficient catalyst	0.8464	0.244	3	193	237	18	2016.1667
1221	efficient degradation	-0.0184	-0.2888	4	252	317	20	2015.3
1222	efficient electron transfer	2.0046	-0.0737	3	175	260	12	2017.6667
1223	efficient enzymatic hydrolysis	-0.0414	0.4282	2	129	152	12	2017.5
1224	efficient ethanol production	-0.3049	0.1163	2	214	287	25	2014.68
1225	efficient fermentation	-0.2837	-0.3262	1	112	142	15	2013.9333
1226	efficient hydrolysis	0.0712	-0.0359	4	363	520	43	2015.5814
1227	efficient immobilization	1.6	0.0257	3	151	205	10	2016.5
1228	efficient pretreatment	-0.092	0.5222	2	197	263	18	2017.0556
1229	efficient pretreatment method	-0.2886	0.4768	2	135	173	13	2015.2308
1230	efficient saccharification	-0.0463	0.0815	4	245	303	25	2015.56
1231	efficient synthesis	-0.0792	-0.6802	1	123	148	11	2015.1818
1232	effluent	-0.5312	0.3819	5	863	1796	163	2015.5644
1233	egypt	-0.6034	0.1887	1	154	194	13	2016.2308
1234	ehrlich pathway	-0.2276	-0.7679	1	133	227	17	2014.9412
1235	eichhornia crassipe	-0.2472	0.5381	2	103	128	11	2014.0909
1236	eicosapentaenoic acid	-0.7875	-0.4014	1	258	444	28	2016.4286
1237	eis	2.138	-0.0768	3	247	598	23	2016.3913
1238	elaboration	1.2246	0.0481	3	147	177	12	2014.0833
1239	electric field	0.4575	0.1007	6	144	195	17	2014.5882
1240	electric power	1.2173	0.0996	3	166	231	14	2013.1429
1241	electrical conductivity	0.8397	0.021	3	405	667	42	2015.9762
1242	electrical energy	1.5234	-0.0999	3	358	762	48	2014.25
1243	electrical power	1.5527	-0.0712	3	286	640	41	2012.7805
1244	electrical wiring	1.8572	-0.1921	3	184	280	15	2014.0667
1245	electricity	0.4136	0.258	3	1051	2968	246	2014.6748
1246	electricity generation	0.5363	0.2742	3	412	782	59	2013.4068
1247	electricity production	0.2097	0.4273	3	321	529	37	2012.3514
1248	electrocatalysis	1.8508	-0.1766	3	304	580	33	2012.3333
1249	electrocatalyst	1.8698	-0.1176	3	482	1399	73	2013.7671
1250	electrocatalytic activity	1.9583	-0.1189	3	483	1524	75	2013.72
1251	electrocatalytic oxidation	1.9719	-0.2017	3	264	565	27	2014.4815
1252	electrochemical activity	1.5776	-0.1084	3	254	381	23	2012.8261
1253	electrochemical analysis	1.4217	-0.0078	3	187	260	14	2015.2143
1254	electrochemical biosensor	1.8833	-0.1234	3	287	545	27	2014.7778
1255	electrochemical characterization	1.9182	-0.1005	3	348	724	34	2015.6176
1256	electrochemical device	1.7303	-0.0171	3	187	262	16	2017.5
1257	electrochemical impedance spectroscopy	2.0974	-0.0654	3	353	1004	41	2015.1951
1258	electrochemical measurement	1.9098	-0.1086	3	298	586	30	2014.2667
1259	electrochemical method	1.7788	-0.1217	3	241	369	20	2015.65
1260	electrochemical oxidation	1.6734	-0.2238	3	279	522	31	2014.6774
1261	electrochemical performance	1.8769	-0.0416	3	392	830	41	2016.3902
1262	electrochemical property	1.9357	-0.1011	3	359	697	34	2015
1263	electrochemical reduction	1.9459	-0.0545	3	191	303	18	2011.2778
1264	electrochemical response	1.8164	-0.2014	3	208	308	16	2014.625
1265	electrochemical sensor	1.782	-0.1728	3	187	301	15	2014.1333
1266	electrochemical study	1.7506	-0.2211	3	242	408	19	2014.2632
1267	electrochemistry	1.6679	-0.185	3	312	595	36	2013.3889
1268	electrode	1.7979	-0.1295	3	1265	15976	876	2013.7626
1269	electrode material	1.8537	-0.0641	3	513	1421	68	2015.1765
1270	electrode support	1.8694	-0.1946	3	200	276	12	2013
1271	electrode surface	1.8615	-0.1324	3	745	3822	193	2013.3886
1272	electrodes	1.768	-0.1909	3	342	743	38	2014.9737
1273	electrolysis	1.057	-0.0035	3	185	285	22	2016.7727
1274	electrolyte	1.697	-0.0638	3	444	1047	60	2014.55
1275	electron	1.1345	-0.2004	3	1102	3481	218	2014.2248
1276	electron acceptor	0.6799	-0.2751	3	553	997	64	2013.7031
1277	electron carrier	0.7018	-0.2932	3	150	181	12	2014.75
1278	electron donor	0.4855	-0.2397	3	375	594	46	2014.2174
1279	electron flow	0.0167	-0.6702	1	228	290	18	2012.8889
1280	electron mediator	1.7664	-0.1805	3	313	611	32	2012.8125
1281	electron microscope	0.697	0.2768	3	431	646	39	2016.5385
1282	electron microscopy	0.5534	0.238	3	1446	3530	210	2016.2381
1283	electron reduction	1.8387	-0.237	3	146	261	15	2011
1284	electron transfer	1.5826	-0.1921	3	975	4182	234	2014.5214
1285	electron transfer mediator	1.9388	-0.1819	3	279	559	29	2012.2759
1286	electron transfer rate	1.8613	-0.088	3	444	1237	57	2015.2807
1287	electron transport	0.3404	-0.385	3	260	362	25	2013.6
1288	electronic device	1.7917	-0.1436	3	296	665	36	2015.3611
1289	electrooxidation	1.948	-0.1503	3	273	507	24	2013.125
1290	electropolymerization	2.056	-0.1471	3	233	476	23	2011.1739
1291	electroreduction	1.7595	-0.0542	3	258	520	30	2010.7
1292	electrostatic interaction	1.2677	-0.0154	3	280	416	21	2015.0952
1293	elevated level	-0.541	-0.4643	1	237	280	16	2015.8125
1294	elevation	-0.4399	-0.6071	1	220	256	19	2015.8947
1295	elongation	-0.51	-0.4639	1	415	598	45	2016.1333
1296	embryo	-0.6207	-0.5168	1	155	193	17	2014.3529
1297	emim oac	-0.0458	0.3872	2	102	141	11	2015.9091
1298	emission	-0.4605	0.3737	2	1228	3610	325	2015.4277
1299	emission characteristic	0.0015	0.6462	6	108	243	18	2016.8333
1300	empty fruit bunch	-0.2228	0.5627	2	254	368	29	2016.4138
1301	emulsification	0.1527	0.5744	6	121	165	13	2014.3846
1302	emulsion	0.0931	0.3715	6	228	322	29	2015.5172
1303	encapsulation	1.0053	-0.0871	3	354	533	39	2014.6923
1304	encoded protein	-0.3936	-0.6047	1	127	177	11	2014.1818
1305	endo	0.1617	-0.3343	4	849	2189	141	2015.4965
1306	endo xylanase	0.162	-0.1241	4	225	348	25	2015.04
1307	endoglucanase	0.1328	-0.2237	4	1086	3273	243	2015.2963
1308	endoglucanase activity	-0.0144	-0.2284	4	306	458	34	2015.9412
1309	endophyte	-0.3239	-0.2111	4	143	172	14	2014.4286
1310	endophytic fungi	-0.302	-0.1252	4	153	181	16	2014.875
1311	endoplasmic reticulum	-0.5336	-0.7066	1	448	735	39	2015.8205
1312	endosperm	-0.5446	-0.4496	1	218	310	24	2013.625
1313	endoxylanase	0.1151	-0.256	4	349	612	40	2015.4
1314	energy analysis	-0.4394	0.5316	2	127	141	13	2015.6923
1315	energy balance	-0.4711	0.5168	2	608	1005	86	2014.9186
1316	energy conversion	1.008	-0.062	3	383	690	58	2014.4655
1317	energy conversion efficiency	0.3004	0.2202	5	379	515	40	2015.7
1318	energy dispersive x ray spectroscopy	1.0977	0.2396	3	200	255	13	2016.7692
1319	energy flow	-0.591	0.1592	2	119	140	11	2012.9091
1320	energy generation	0.4489	0.2404	3	440	649	50	2016.54
1321	energy grass	-0.4489	0.0935	2	150	181	15	2016.8667
1322	energy harvesting	1.3864	-0.175	3	225	351	24	2017.25
1323	energy independence	-0.6558	0.2368	2	150	191	17	2013.1176
1324	energy metabolism	-0.5526	-0.7022	1	317	447	28	2016.1429
1325	energy potential	-0.4402	0.6553	2	109	124	15	2016.7333
1326	energy recovery	-0.4898	0.6	5	475	766	62	2016.2258
1327	energy storage	0.559	-0.0394	3	222	266	20	2016.5
1328	energy use	-0.6406	0.5015	2	222	362	30	2013.9667
1329	energy yield	-0.4981	0.4801	2	408	609	52	2015.8654
1330	engine	-0.0542	0.316	6	496	1020	87	2015.5632
1331	engine performance	-0.159	0.6429	6	124	243	21	2017
1332	engineered strain	-0.2179	-0.6294	1	279	441	29	2016.2414
1333	engineering strategy	-0.3878	-0.5105	1	501	737	54	2016.1481
1334	enhanced bioethanol production	-0.2994	0.1861	2	131	151	14	2018.6429
1335	enhanced biogas production	-0.456	0.6482	5	168	253	18	2017.0556
1336	enhanced biomass	-0.7552	-0.3298	1	128	148	11	2017.4545
1337	enhanced enzymatic hydrolysis	-0.0947	0.5653	2	107	130	11	2015.4545
1338	enhanced growth	-0.8481	-0.3264	1	143	162	10	2016.6
1339	enhanced lipid production	-0.7182	-0.3119	1	164	226	13	2016.7692
1340	enhanced saccharification	-0.1615	0.4394	2	120	165	12	2018.3333
1341	enhanced tolerance	-0.5257	-0.5597	1	158	190	12	2015
1342	enrichment culture	-0.2748	-0.0052	5	225	320	24	2015.6667
1343	ensilage	-0.5449	0.5047	2	60	80	11	2013.7273
1344	ensiling	-0.4225	0.5975	2	105	137	14	2014.7857
1345	enterobacter aerogene	-0.2499	0.1053	1	137	177	18	2015.0556
1346	enterobacter cloacae	-0.2716	-0.0153	5	111	125	11	2015.4545
1347	entrapment	1.3477	0.0874	3	472	940	50	2014.92
1348	environmental application	0.4732	-0.0558	3	128	143	11	2014.3636
1349	environmental aspect	-0.433	0.2912	2	111	121	16	2015.9375
1350	environmental assessment	-0.549	0.5762	2	120	171	14	2017.0714
1351	environmental burden	-0.3764	0.379	2	173	196	17	2015.7059
1352	environmental consequence	-0.5645	0.398	2	143	181	14	2014.5714
1353	environmental effect	-0.3005	0.2713	6	132	170	16	2015.375
1354	environmental impact	-0.4996	0.4822	2	908	1966	178	2015.618
1355	environmental performance	-0.59	0.5878	2	258	520	38	2015.4474
1356	enzymatic bioanode	2.0176	-0.2171	3	152	240	13	2014.6923
1357	enzymatic biodiesel production	0.3903	0.6186	6	262	551	39	2014.4615
1358	enzymatic biofuel cell	1.8655	-0.0943	3	859	5802	317	2016.3123
1359	enzymatic catalysis	0.529	0.376	6	232	353	26	2016.3846
1360	enzymatic catalyst	1.0622	0.2903	6	265	384	22	2017.1364
1361	enzymatic cocktail	-0.0631	-0.0364	4	377	621	47	2016.2553
1362	enzymatic deconstruction	-0.0104	0.0308	4	245	302	21	2014.9524
1363	enzymatic digestibility	-0.1848	0.5799	2	778	2152	162	2015.0123
1364	enzymatic electrode	1.9129	-0.0964	3	219	395	22	2014.2727
1365	enzymatic esterification	0.3061	0.5869	6	89	141	11	2015.2727
1366	enzymatic fuel cell	1.8438	-0.1522	3	431	1320	70	2014.8571
1367	enzymatic glucose biofuel cell	1.8771	-0.0292	3	173	269	15	2019.4
1368	enzymatic hydrolysate	-0.2718	0.4308	2	567	1030	83	2015.7229
1369	enzymatic hydrolysis	-0.1559	0.4445	2	2390	14232	1213	2015.4691
1370	enzymatic hydrolysis efficiency	-0.1705	0.5651	2	253	379	31	2015.7419
1371	enzymatic hydrolysis process	-0.1471	0.4874	2	319	454	36	2015.8889
1372	enzymatic hydrolysis rate	-0.0246	0.3338	2	116	141	12	2013.9167
1373	enzymatic hydrolysis step	-0.2363	0.561	2	172	213	17	2015
1374	enzymatic hydrolysis yield	-0.242	0.5536	2	334	525	41	2015.3902
1375	enzymatic method	0.6453	0.1509	6	251	335	25	2014.56
1376	enzymatic oxidation	1.6692	-0.1295	3	123	195	16	2010.1875
1377	enzymatic pre treatment	-0.3443	0.4418	2	129	154	15	2015.2667
1378	enzymatic pretreatment	-0.3422	0.6239	5	336	525	41	2016.7073
1379	enzymatic production	0.3498	0.527	6	402	773	51	2014.7843
1380	enzymatic property	0.3546	-0.2065	4	211	290	19	2015.1053
1381	enzymatic reaction	0.847	0.0253	3	580	964	64	2014.7031
1382	enzymatic saccharification	-0.1823	0.4106	2	1312	4129	334	2015.8054
1383	enzymatic saccharification efficiency	-0.2347	0.0942	2	160	200	15	2014.9333
1384	enzymatic synthesis	0.3253	0.4985	6	194	348	26	2014.5
1385	enzymatic transesterification	0.3709	0.6055	6	390	937	60	2014.8
1386	enzyme accessibility	0.0357	0.4524	2	268	379	28	2016
1387	enzyme active site	1.4386	-0.2441	3	207	273	16	2014.25
1388	enzyme addition	-0.3966	0.6345	5	179	228	21	2014.0952
1389	enzyme adsorption	0.8563	0.2655	3	265	404	24	2014.2083
1390	enzyme aggregate	0.8152	0.3504	6	118	192	12	2016.5833
1391	enzyme amount	0.5061	0.6513	6	142	201	14	2012.5714
1392	enzyme anode	1.945	-0.0144	3	136	220	10	2013.2
1393	enzyme cascade	1.2925	-0.3762	3	268	464	31	2015.4194
1394	enzyme catalyst	1.636	0.0809	3	184	290	16	2015.5
1395	enzyme cocktail	0.028	-0.0244	4	754	1466	108	2016.1111
1396	enzyme combination	-0.0451	0.0439	2	244	297	22	2013.1364
1397	enzyme concentration	0.2856	0.5301	6	521	948	65	2015.1385
1398	enzyme digestibility	-0.0839	0.7361	2	109	139	11	2014.3636
1399	enzyme dosage	-0.0951	0.5364	2	566	999	69	2015.6522
1400	enzyme dose	-0.2267	0.5761	2	241	328	25	2016.44
1401	enzyme electrode	1.9123	-0.1286	3	500	1561	80	2013.125
1402	enzyme glucose oxidase	2.0659	-0.0709	3	207	388	20	2014
1403	enzyme hydrolysis	-0.1559	0.3876	2	395	607	54	2015.0926
1404	enzyme immobilization	1.7306	-0.0139	3	569	1606	86	2014.814
1405	enzyme inhibition	0.2598	0.5229	6	197	249	16	2014.1875
1406	enzyme kinetic	0.6791	0.1184	3	166	197	15	2013.2667
1407	enzyme loading	0.2727	0.5015	2	1148	2897	191	2014.7853
1408	enzyme molecule	1.6244	-0.0969	3	292	498	28	2014.3571
1409	enzyme reaction	1.0741	-0.1091	3	178	243	21	2013.3333
1410	enzyme recycling	-0.1149	0.453	2	115	145	15	2014.5333
1411	enzyme saccharification	-0.2264	0.635	2	130	188	14	2014.9286
1412	enzyme stability	0.7612	0.0552	4	281	367	25	2015.24
1413	enzymes	0.7595	-0.1997	3	511	724	54	2015.5926
1414	epa	-0.8451	-0.3007	1	261	443	29	2015.5172
1415	eps	-0.5973	0.311	5	228	299	26	2016.5
1416	escherichia coli strain	-0.2461	-0.338	1	200	272	24	2014.75
1417	essential enzyme	0.124	-0.4957	4	126	140	12	2016.5
1418	essential fatty acid	-0.697	0.0153	1	113	140	11	2014.5455
1419	essential gene	-0.4219	-0.7424	1	128	168	12	2017.5
1420	essential role	-0.3404	-0.4926	1	249	304	24	2016.7083
1421	essential step	-0.1197	0.3891	2	178	243	21	2015.5238
1422	est	-0.6947	-0.7257	1	112	167	10	2011
1423	ester bond	-0.0413	0.0235	2	186	231	17	2016.4118
1424	esterase	0.0383	-0.2375	4	523	866	59	2014.8475
1425	esterification	0.2552	0.5719	6	853	2737	183	2014.7432
1426	esterification reaction	0.3428	0.5334	6	341	711	46	2015.587
1427	ests	-0.6617	-0.7148	1	160	228	13	2011
1428	ethanol concentration	-0.222	0.3617	2	967	2272	197	2014.5381
1429	ethanol content	-0.203	0.3334	2	181	222	23	2015.3043
1430	ethanol conversion	-0.3869	0.3428	2	314	444	36	2014.5278
1431	ethanol fermentation	-0.2558	0.2274	2	1034	2331	215	2014.4047
1432	ethanol oxidation	1.2873	-0.1844	3	145	201	12	2017.1667
1433	ethanol plant	-0.3971	0.5111	2	309	458	46	2013.6522
1434	ethanol production cost	-0.3637	0.6109	2	139	179	17	2015
1435	ethanol production efficiency	-0.2624	-0.029	1	113	129	12	2015.3333
1436	ethanol production process	-0.3872	0.3452	2	317	428	42	2015.4762
1437	ethanol production rate	-0.4288	-0.0523	1	228	303	28	2013.3214
1438	ethanol productivity	-0.2645	0.0477	2	692	1422	129	2014.4264
1439	ethanol recovery	-0.3516	0.5699	2	122	158	12	2013.5
1440	ethanol synthesis	-0.2184	-0.4856	1	129	153	12	2014.8333
1441	ethanol titer	-0.2476	0.1794	2	517	869	71	2016.2817
1442	ethanol yield	-0.3192	0.2637	2	1695	6201	557	2014.5907
1443	ethanolic fermentation	-0.3237	0.5094	2	158	187	18	2015.6667
1444	ethanologenic escherichia coli	-0.11	-0.0541	2	119	148	12	2011.9167
1445	ethanolysis	0.4371	0.5914	6	283	592	38	2014.2368
1446	ethyl acetate	-0.1876	0.4446	6	225	287	24	2014.9583
1447	ethyl ester	0.2362	0.4014	6	394	793	54	2014.3704
1448	ethylbenzothiazoline	1.641	-0.0206	3	411	1141	54	2012.9074
1449	ethylenedioxythiophene	2.0181	-0.066	3	165	277	14	2014.3571
1450	ethylenimine	2.2063	-0.132	3	185	403	18	2014.7778
1451	eucalyptus	-0.2497	0.3312	2	382	542	42	2014.9286
1452	eucalyptus globulus	-0.2471	0.0787	2	151	197	14	2013.0714
1453	euglena gracilis	-0.5846	-0.3744	1	136	169	17	2017.3529
1454	eukaryote	-0.4444	-0.6671	1	376	562	36	2014.4167
1455	euphorbiaceae	-0.7437	-0.3403	1	164	239	17	2013.4118
1456	european union	-0.4966	0.4637	2	205	285	25	2014.84
1457	eutrophication	-0.6244	0.4931	2	229	398	29	2015.2069
1458	evolutionary engineering	-0.2906	-0.3253	1	127	169	16	2015.75
1459	excellent catalytic activity	1.5392	0.17	3	162	221	11	2016.3636
1460	excellent electrocatalytic activity	2.0218	-0.1372	3	184	302	12	2013.5833
1461	excellent performance	1.0004	0.1506	3	212	261	14	2017.5714
1462	excellent selectivity	1.516	-0.0355	3	155	214	13	2017.4615
1463	excellent stability	1.5941	-0.0735	3	296	488	25	2016.88
1464	exhaust emission	-0.1799	0.4155	6	134	234	16	2015.75
1465	exhibit	0.5917	-0.2377	3	476	645	42	2015.0714
1466	exo	0.1833	-0.2308	4	288	411	26	2015.5385
1467	exoglucanase	0.1334	-0.2539	4	443	827	57	2015.807
1468	exoglucanase activity	0.0716	-0.3948	4	146	182	13	2017
1469	expansin	-0.3208	-0.403	4	156	206	16	2015.625
1470	experimental evidence	0.4393	-0.4393	4	164	191	14	2015.7143
1471	experimental investigation	0.1921	0.6811	6	115	145	15	2016.5333
1472	experimental value	-0.0164	0.7428	6	141	184	15	2013.8
1473	exponential growth	-0.6016	-0.3984	1	158	196	16	2013.625
1474	exponential growth phase	-0.7324	-0.3899	1	194	253	18	2016.0556
1475	exponential phase	-0.5941	-0.3919	1	275	351	28	2015.5
1476	expression	-0.3198	-0.5599	1	2525	14059	919	2015.2568
1477	expression analysis	-0.5661	-0.5503	1	411	711	38	2016.2632
1478	expression cassette	-0.4975	-0.6083	1	280	428	27	2016.2963
1479	expression level	-0.4161	-0.5783	1	1131	2393	142	2015.5986
1480	expression pattern	-0.6719	-0.6377	1	629	1379	73	2015.4658
1481	expression profile	-0.562	-0.6267	1	389	599	33	2015.3333
1482	expression system	-0.0548	-0.5705	1	451	688	55	2015
1483	expression vector	0.0157	-0.5219	4	317	471	30	2015.4
1484	extensive research	0.7332	0.0688	3	147	159	13	2015.7692
1485	external magnetic field	1.2315	0.2345	3	129	171	12	2016.0833
1486	external power source	1.7925	-0.169	3	137	257	17	2017.7647
1487	external resistance	0.8451	0.2226	3	132	209	14	2014.2857
1488	extracellular enzyme	0.1053	-0.1181	4	193	235	20	2015
1489	extracellular lipase	0.1976	0.1733	6	105	174	12	2014.75
1490	extracellular polymeric substance	-0.4662	0.4278	5	210	297	26	2016.3846
1491	extracellular protein	-0.0439	-0.4823	4	178	224	14	2016.3571
1492	extraction efficiency	-0.3263	0.3276	6	233	371	30	2016.7333
1493	extraction method	-0.338	0.3192	6	373	617	52	2016.8269
1494	extraction process	-0.3345	0.4227	6	415	663	60	2016.6667
1495	extraction yield	-0.3328	0.2999	6	269	411	38	2015.2895
1496	extractive	-0.2248	0.4864	2	300	418	42	2015.2143
1497	extreme condition	0.1675	-0.1431	4	231	278	17	2016.5294
1498	extremophile	0.1345	-0.3137	4	164	190	15	2015.2667
1499	extrusion	-0.1664	0.5782	2	176	271	27	2014.2963
1500	f5h	-0.5842	-0.4603	1	118	177	11	2015.6364
1501	fabrication	1.7339	-0.078	3	749	2625	137	2014.6788
1502	facs	-0.1983	-0.5312	1	114	141	11	2014.0909
1503	factorial design	-0.1478	0.4915	2	394	571	45	2015.6222
1504	fad	1.6036	-0.2265	3	458	1016	51	2014.7647
1505	fad dependent glucose dehydrogenase	1.9358	-0.1705	3	159	245	12	2015.4167
1506	fad gdh	1.9562	-0.1777	3	194	314	14	2017.5714
1507	faee	0.3026	0.5135	6	268	529	33	2015.0606
1508	faees	0.0574	-0.215	6	230	372	21	2015.7619
1509	fame	0.0252	0.432	6	948	2938	175	2015.7714
1510	fame production	0.1334	0.4512	6	189	309	19	2015.4211
1511	fame profile	-0.7306	-0.0468	1	178	241	14	2016.0714
1512	fame yield	0.2336	0.6193	6	399	1079	64	2016.0312
1513	fames	-0.0138	0.3001	6	608	1365	81	2015.6667
1514	family	-0.0256	-0.4083	4	1785	5945	409	2015.4156
1515	farm	-0.5686	0.362	2	372	489	46	2015.0217
1516	farmer	-0.6742	0.363	2	241	329	31	2014.7419
1517	farnesene	-0.1676	-0.6748	1	128	203	18	2016.7222
1518	fas	-0.5431	-0.5515	1	353	599	42	2016.2381
1519	fast growth	-0.736	-0.349	1	188	221	15	2014.6667
1520	fast pyrolysis	-0.1813	0.5893	2	277	431	43	2015.3256
1521	fat	-0.069	0.531	6	499	960	69	2013.6522
1522	fatty acid	-0.4858	-0.2723	1	2273	10472	717	2015.6806
1523	fatty acid accumulation	-0.7555	-0.5939	1	245	327	17	2016.3529
1524	fatty acid alkyl ester	0.4167	0.5153	6	169	279	18	2013.3889
1525	fatty acid biosynthesis	-0.5481	-0.7315	1	603	1264	73	2015.9178
1526	fatty acid composition	-0.7868	-0.2842	1	852	2203	130	2015.3308
1527	fatty acid content	-0.7826	-0.2932	1	539	935	61	2016.2459
1528	fatty acid desaturase	-0.6998	-0.5931	1	175	246	13	2015.9231
1529	fatty acid ester	0.2314	0.1155	6	199	319	24	2013.4583
1530	fatty acid ethyl ester	0.2037	0.1202	6	488	1076	69	2014.7391
1531	fatty acid metabolism	-0.3473	-0.7913	1	231	353	24	2016.1667
1532	fatty acid methyl ester	-0.0609	0.3376	6	1323	4732	294	2015.3333
1533	fatty acid production	-0.5523	-0.4887	1	423	760	55	2015.6909
1534	fatty acid profile	-0.7876	-0.1778	1	815	2127	136	2016.3088
1535	fatty acid synthase	-0.4613	-0.7841	1	195	331	23	2016.913
1536	fatty acid synthesis	-0.6742	-0.7053	1	579	1210	70	2015.9
1537	fatty acids composition	-0.7438	-0.0385	1	129	164	13	2016.3077
1538	fatty acids profile	-0.7495	-0.0006	1	223	306	20	2016.05
1539	fatty alcohol	-0.2485	-0.672	1	238	465	31	2015.5161
1540	fatty aldehyde	-0.0227	-0.7418	1	117	167	12	2015.5
1541	fba	-0.4717	-0.707	1	122	165	11	2016.2727
1542	fdh	1.1658	-0.3418	3	336	671	36	2014.75
1543	fe2	0.3389	0.016	4	267	385	25	2015.84
1544	fe3	0.3308	-0.1891	4	186	262	16	2016.3125
1545	fe3o4	1.2207	0.3608	3	168	214	10	2018.3
1546	feasible option	-0.3512	0.602	2	110	111	10	2015.7
